Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2022-01-09,"tick, tick... BOOM!",2021,https://boxd.it/2sp6mF,5,,netflix,2022-01-09
2022-01-10,"I, Tonya",2017,https://boxd.it/2sHq2V,4.5,,,2022-01-10
2022-01-18,Eternals,2021,https://boxd.it/2uFIKl,4,,disney+,2022-01-17
2022-01-19,La La Land,2016,https://boxd.it/2uUiRv,4,,,2022-01-18
2022-01-27,X-Men,2000,https://boxd.it/2wz3Nz,4,,,2022-01-26
2022-01-29,X2,2003,https://boxd.it/2wUEAp,3.5,,,2022-01-28
2022-01-30,X-Men: The Last Stand,2006,https://boxd.it/2x5NMr,3,,,2022-01-29
2022-02-04,X-Men Origins: Wolverine,2009,https://boxd.it/2y3G7L,3.5,,,2022-02-03
2022-02-06,Encanto,2021,https://boxd.it/2ytRut,4,,disney+,2022-02-06
2022-02-21,The King's Man,2021,https://boxd.it/2BdDPd,,,,2022-02-20
2022-03-22,The Adam Project,2022,https://boxd.it/2GuJ8D,3.5,,netflix,2022-03-21
2022-03-27,OLIVIA RODRIGO: driving home 2 u (a SOUR film),2022,https://boxd.it/2HwUA7,3.5,,documentary,2022-03-27
2022-03-30,The Batman,2022,https://boxd.it/2I3FBl,4.5,,"theater, marcus syracuse cinema",2022-03-30
2022-04-02,Road Trip,2000,https://boxd.it/2IvllD,2.5,,,2022-04-01
2022-04-04,X-Men: First Class,2011,https://boxd.it/2IU74t,3.5,,,2022-04-03
2022-04-14,X-Men: Days of Future Past,2014,https://boxd.it/2KGLLx,3.5,,,2022-04-14
2022-04-17,Everything Everywhere All at Once,2022,https://boxd.it/2Lb5R1,4.5,,"theater, a24, marcus syracuse cinema",2022-04-16
2022-04-29,Project X,2012,https://boxd.it/2NlQUT,2.5,,,2022-04-28
2022-05-06,Nightmare Alley,2021,https://boxd.it/2OBOuF,4.5,,,2022-05-06
2022-05-08,Doctor Strange in the Multiverse of Madness,2022,https://boxd.it/2OZNjz,4,,theater,2022-05-08
2022-05-08,Moon Knight,2022,https://boxd.it/2OZOcp,5,,disney+,2022-05-08
2022-05-10,Free Guy,2021,https://boxd.it/2Pnvzn,3.5,,,2022-05-09
2022-05-10,Happy Gilmore,1996,https://boxd.it/2PogV1,4.5,,,2022-05-10
2022-05-20,Rush,2013,https://boxd.it/2R5f4Z,4.5,,,2022-05-20
2022-05-25,The Imitation Game,2014,https://boxd.it/2S0MgN,4.5,,netflix,2022-05-24
2022-05-25,BlacKkKlansman,2018,https://boxd.it/2S0MrB,4,,on a plane,2022-05-24
2022-05-27,Spider-Man: No Way Home,2021,https://boxd.it/2SrADp,4.5,Yes,on a plane,2022-05-27
2022-05-27,The Martian,2015,https://boxd.it/2SrAFZ,5,Yes,,2022-05-27
2022-05-27,Old,2021,https://boxd.it/2Ss58x,2.5,,,2022-05-27
2022-06-02,King Richard,2021,https://boxd.it/2TocV3,4.5,,,2022-06-01
2022-06-07,The Lizzie McGuire Movie,2003,https://boxd.it/2Uics3,3,,disney+,2022-06-06
2022-06-09,Uncharted,2022,https://boxd.it/2UCayX,3.5,,netflix,2022-06-08
2022-06-09,WALL·E,2008,https://boxd.it/2UCfzB,5,Yes,,2022-06-08
2022-06-10,The Day After Tomorrow,2004,https://boxd.it/2UJWHn,,,,2022-06-09
2022-06-10,Life of Pi,2012,https://boxd.it/2UJWQ5,5,Yes,on a plane,2022-06-09
2022-06-10,Rocketman,2019,https://boxd.it/2UNEAV,1,,on a plane,2022-06-09
2022-06-10,Space Jam: A New Legacy,2021,https://boxd.it/2UOPvT,1.5,,on a plane,2022-06-09
2022-06-15,The Amazing Spider-Man,2012,https://boxd.it/2VLN11,4,Yes,,2022-06-15
2022-06-22,Top Gun: Maverick,2022,https://boxd.it/2X3nZp,4.5,,"theater, amc palisades, laser",2022-06-21
2022-06-27,To All the Boys: Always and Forever,2021,https://boxd.it/2Y1GgN,2,Yes,netflix,2022-06-26
2022-07-01,Spiderhead,2022,https://boxd.it/2YEQdx,4,,netflix,2022-06-30
2022-07-06,Minions: The Rise of Gru,2022,https://boxd.it/2ZF3iz,5,,theater,2022-07-05
2022-07-11,LOL,2012,https://boxd.it/30DwrP,,,,2022-07-10
2022-07-13,The Terminal,2004,https://boxd.it/30YLQx,4,,netflix,2022-07-12
2022-07-13,Thor: Love and Thunder,2022,https://boxd.it/315Qz1,3,,"theater, amc riverside, laser",2022-07-12
2022-07-18,Little Italy,2018,https://boxd.it/327hTN,1.5,,,2022-07-17
2022-07-18,Status Update,2018,https://boxd.it/328ws5,2,,,2022-07-18
2022-07-20,Jurassic Park,1993,https://boxd.it/32tfZj,4,,,2022-07-19
2022-07-25,Get Out,2017,https://boxd.it/33wVuH,5,,,2022-07-24
2022-07-27,Nope,2022,https://boxd.it/34hEyV,4,,theater,2022-07-27
2022-08-15,The Black Phone,2021,https://boxd.it/38gGS3,3.5,,,2022-08-14
2022-08-16,"Crazy, Stupid, Love.",2011,https://boxd.it/38ukNt,4,,,2022-08-15
2022-08-17,Bodies Bodies Bodies,2022,https://boxd.it/38GpXR,3.5,,"theater, a24",2022-08-16
2022-08-21,Whiplash,2014,https://boxd.it/39sBZB,5,Yes,,2022-08-20
2022-08-27,American Psycho,2000,https://boxd.it/3azxgv,4,,,2022-08-26
2022-08-29,Harry Potter and the Philosopher's Stone,2001,https://boxd.it/3aU4i5,4,,max,2022-08-28
2022-08-29,Lightyear,2022,https://boxd.it/3b0NgP,,,disney+,2022-08-28
2022-09-06,Status Update,2018,https://boxd.it/3coj5T,2,Yes,prime video,2022-09-05
2022-09-26,The Princess Diaries,2001,https://boxd.it/3gdz8N,,Yes,,2022-09-25
2022-09-28,Untold: The Girlfriend Who Didn't Exist,2022,https://boxd.it/3gynIB,4,,"netflix, documentary",2022-09-27
2022-09-28,Ex Machina,2015,https://boxd.it/3gDlrt,4.5,,a24,2022-09-27
2022-09-30,West Side Story,2021,https://boxd.it/3gZNQl,3,,netflix,2022-09-29
2022-10-01,This Is the End,2013,https://boxd.it/3h5yZT,4,Yes,,2022-09-30
2022-10-01,Mississippi Grind,2015,https://boxd.it/3h6yc5,3.5,,"a24, netflix",2022-09-30
2022-10-02,Blonde,2022,https://boxd.it/3ht8mz,3,,netflix,2022-10-02
2022-10-04,Ocean's Eleven,2001,https://boxd.it/3hPzcP,4,,netflix,2022-10-03
2022-10-05,Don't Worry Darling,2022,https://boxd.it/3i7Mev,4.5,,"theater, laser, amc riverside",2022-10-04
2022-10-07,The Card Counter,2021,https://boxd.it/3iqIlP,2.5,,,2022-10-06
2022-10-11,Moonfall,2022,https://boxd.it/3joc93,2,,,2022-10-10
2022-10-13,Hustlers,2019,https://boxd.it/3jFKEN,4,,,2022-10-12
2022-10-15,Land of the Lost,2009,https://boxd.it/3kd2Yx,5,Yes,,2022-10-14
2022-10-17,Return to Halloweentown,2006,https://boxd.it/3kILdX,1.5,,,2022-10-16
2022-10-19,The Wolf of Wall Street,2013,https://boxd.it/3l4XrB,5,Yes,,2022-10-18
2022-10-19,30 Minutes or Less,2011,https://boxd.it/3l6J5v,2.5,,,2022-10-18
2022-10-21,Father of the Bride,1991,https://boxd.it/3ltdk5,4,,,2022-10-20
2022-10-26,The Lizzie McGuire Movie,2003,https://boxd.it/3mz7t7,3,Yes,disney+,2022-10-25
2022-11-03,See How They Run,2022,https://boxd.it/3ogawD,,,,2022-11-02
2022-11-10,Mr. & Mrs. Smith,2005,https://boxd.it/3pKJwn,3,,,2022-11-09
2022-11-22,Cruella,2021,https://boxd.it/3se8bl,4,,disney+,2022-11-21
2022-11-27,The Gift,2015,https://boxd.it/3tpBOx,3,,,2022-11-27
2022-12-01,Black Panther: Wakanda Forever,2022,https://boxd.it/3uaH37,3.5,,"theater, amc riverside, laser",2022-11-30
2022-12-04,Pitch Perfect,2012,https://boxd.it/3uNCAt,4,,disney+,2022-12-03
2022-12-12,The Guardians of the Galaxy Holiday Special,2022,https://boxd.it/3wkJq1,,,disney+,2022-12-11
2022-12-12,Home Alone,1990,https://boxd.it/3wkJK1,4.5,,disney+,2022-12-11
2022-12-12,Home Alone 2: Lost in New York,1992,https://boxd.it/3wkJSp,,,disney+,2022-12-11
2022-12-16,Who Killed Santa? A Murderville Murder Mystery,2022,https://boxd.it/3xmqK5,0.5,,"netflix, documentary",2022-12-15
2022-12-16,A Christmas Story,1983,https://boxd.it/3xnHzZ,3.5,,,2022-12-15
2022-12-17,Zoolander,2001,https://boxd.it/3xuQd3,3.5,,,2022-12-16
2022-12-28,Avatar: The Way of Water,2022,https://boxd.it/3ATRCv,4.5,,"theater, laser, amc riverside",2022-12-27
2023-01-02,American Hustle,2013,https://boxd.it/3D2dvZ,4,,netflix,2023-01-02
2023-01-03,The Kissing Booth 2,2020,https://boxd.it/3DkSld,2,Yes,netflix,2023-01-02
2023-01-03,Glass Onion,2022,https://boxd.it/3DrwQH,4.5,,netflix,2023-01-02
2023-01-06,Bridge to Terabithia,2007,https://boxd.it/3EvRq3,,,,2023-01-04
2023-01-13,Marley & Me,2008,https://boxd.it/3Hdsjn,5,Yes,,2023-01-12
2023-01-25,The Internship,2013,https://boxd.it/3L7rPV,4,Yes,,2023-01-24
2023-01-27,Vacation,2015,https://boxd.it/3LHsUp,3.5,,,2023-01-26
2023-01-27,Tammy,2014,https://boxd.it/3LJzdB,2,,,2023-01-26
2023-01-28,Cheaper by the Dozen 2,2005,https://boxd.it/3M2pWf,4,Yes,,2023-01-27
2023-01-29,Cheaper by the Dozen,2003,https://boxd.it/3MjOer,5,,,2023-01-28
2023-01-29,Suicide Squad,2016,https://boxd.it/3MmrFP,2.5,,,2023-01-28
2023-01-31,The Aviator,2004,https://boxd.it/3N47od,4.5,,,2023-01-30
2023-02-03,Minions: The Rise of Gru,2022,https://boxd.it/3NI5Xb,5,Yes,,2023-02-01
2023-02-04,Where the Crawdads Sing,2022,https://boxd.it/3OaNB5,4,,,2023-02-03
2023-02-06,Arctic,2018,https://boxd.it/3OKac3,2,,,2023-02-04
2023-02-10,The Redeem Team,2022,https://boxd.it/3PWJzp,4,,netflix,2023-02-09
2023-02-26,Interstellar,2014,https://boxd.it/3UiOET,5,Yes,,2023-02-25
2023-02-27,Ant-Man and the Wasp: Quantumania,2023,https://boxd.it/3UJaTX,3.5,,"theater, amc riverside",2023-02-26
2023-03-08,Creed III,2023,https://boxd.it/3Xd5cd,5,,"theater, amc palisades, laser",2023-03-07
2023-03-21,Moana,2016,https://boxd.it/40FrTh,5,Yes,disney+,2023-03-20
2023-03-21,We Bought a Zoo,2011,https://boxd.it/40Ifm7,4.5,Yes,,2023-03-20
2023-03-21,High School Musical 2,2007,https://boxd.it/40ShIz,3,Yes,disney+,2023-03-21
2023-03-24,Good Will Hunting,1997,https://boxd.it/41nD6T,4,,,2023-03-23
2023-03-27,The Hunger Games,2012,https://boxd.it/42iQu9,,Yes,,2023-03-26
2023-03-29,The Hunger Games: Catching Fire,2013,https://boxd.it/42TmZF,4,Yes,,2023-03-28
2023-04-02,The Hunger Games: Mockingjay – Part 1,2014,https://boxd.it/43LvyB,,,,2023-04-01
2023-04-02,The Hunger Games: Mockingjay – Part 2,2015,https://boxd.it/43QHlf,,,,2023-04-01
2023-04-03,The Princess Diaries,2001,https://boxd.it/44dptV,2,Yes,,2023-04-02
2023-04-09,Murder Mystery 2,2023,https://boxd.it/45X4NB,3,,netflix,2023-04-08
2023-04-23,The Hating Game,2021,https://boxd.it/49IcoZ,2.5,,,2023-04-22
2023-04-26,Top Gun: Maverick,2022,https://boxd.it/4asHlf,4.5,Yes,prime video,2023-04-25
2023-04-30,Bullet Train,2022,https://boxd.it/4bvIEH,3,,,2023-04-29
2023-04-30,Catch Me If You Can,2002,https://boxd.it/4bvJ7p,5,Yes,,2023-04-29
2023-05-03,Ghosted,2023,https://boxd.it/4cguyf,,,apple tv,2023-05-02
2023-05-06,Moana,2016,https://boxd.it/4d9GpJ,5,Yes,disney+,2023-05-05
2023-05-06,Luca,2021,https://boxd.it/4d9GwP,5,Yes,disney+,2023-05-05
2023-05-06,Toy Story,1995,https://boxd.it/4d9H4n,,Yes,disney+,2023-05-05
2023-05-06,Toy Story 2,1999,https://boxd.it/4d9Hif,,Yes,disney+,2023-05-05
2023-05-06,Toy Story 3,2010,https://boxd.it/4d9HoR,,Yes,disney+,2023-05-05
2023-05-06,Toy Story 4,2019,https://boxd.it/4ddffv,,Yes,disney+,2023-05-05
2023-05-07,Top Gun: Maverick,2022,https://boxd.it/4drXy5,4.5,Yes,prime video,2023-05-06
2023-05-08,The Great Gatsby,2013,https://boxd.it/4dF2br,4,Yes,,2023-05-07
